# HIP Sn So Nc RArad DErad Plx pmRA pmDE e_RArad e_DErad e_Plx e_pmRA e_pmDE Ntr F2 F1 var ic Hpmag e_Hpmag sHp VA B_V e_B_V V_I UW1 UW2 UW3 UW4 UW5 UW6 UW7 UW8 UW9 UW10 UW11 UW12 UW13 UW14 UW15
# taken from HIP2.dat from https://code.google.com/p/pystaratlas/
8837 5 0 1 0.4958785616 -0.8081301415 9.54 -93.16 -91.17 0.13 0.15 0.19 0.17 0.18 128 0.26 0 0.0 0 4.4099 0.0048 0.045 2 1.597 0.006 2.49 1.03 0.65 1.04 -0.84 1.45 1.0 -0.56 -0.22 -0.24 1.0 -0.23 -0.04 -0.04 0.23 1.0
8886 1 0 1 0.4991411472 1.1112536973 7.92 32.09 -18.94 0.23 0.29 0.43 0.29 0.37 251 0.31 0 2.2 0 3.3107 0.0003 0.005 0 -0.15 0.007 -0.12 1.17 2.1 1.03 -0.15 0.07 1.02 0.6 0.98 -0.49 1.23 0.92 0.76 -0.63 1.93 1.0
8903 75 4 1 0.5002076818 0.3631733438 55.6 98.74 -110.41 0.56 0.41 0.58 0.71 0.47 103 28.01 1 0.0 0 2.7044 0.0005 0.004 0 0.165 0.003 0.18 1.08 -4.34 1.37 -0.58 -0.4 1.03 1.21 -1.06 0.6 1.01 -2.59 7.23 -1.68 -1.0 1.0
9007 7 1 1 0.5059151382 -0.9007572172 56.02 680.92 283.46 0.3 0.29 0.38 0.41 0.33 116 21.35 0 0.0 91 3.8511 0.0025 0.015 2 0.844 0.015 0.9 1.08 1.28 1.02 -0.38 1.35 1.05 1.91 -0.25 0.85 1.2 0.0 0.08 0.85 0.9 1.0
9236 75 4 1 0.5182080074 -1.0745979068 45.43 263.66 26.77 0.37 0.38 0.44 0.43 0.41 128 33.85 3 0.0 0 2.9305 0.0003 0.003 0 0.29 0.012 0.34 1.04 0.98 1.05 -1.19 2.22 1.01 1.53 -1.33 0.27 1.0 -1.15 -0.27 1.46 -0.51 1.0
9487 15 3 2 0.5325290992 0.0482367341 21.66 32.45 0.04 0.91 0.57 1.06 1.01 0.72 78 16.53 0 0.0 0 3.8281 0.0009 0.007 1 0.024 0.023 0.05 1.54 -3.58 1.26 0.5 0.76 1.13 3.31 -1.39 -0.17 1.09 -4.5 2.25 -1.78 -1.58 1.0
9640 15 3 2 0.5406098378 0.7387952238 8.3 42.32 -49.3 0.89 0.66 1.04 0.92 0.81 99 51.48 0 0.0 0 2.2409 0.0018 0.012 0 1.37 0.4 1.37 1.08 -1.53 1.09 -1.97 0.63 1.01 1.88 -0.51 -0.22 1.02 -1.06 3.47 -1.03 -1.77 1.0
9884 5 0 1 0.5548900421 0.4095027186 49.56 188.55 -148.08 0.22 0.14 0.25 0.31 0.19 66 3.24 4 0.0 0 2.1726 0.0006 0.004 0 1.151 0.006 1.13 1.06 -1.98 1.08 -1.31 0.82 1.02 0.74 -0.74 0.83 1.02 -1.44 2.47 -0.45 -1.43 1.0
10064 75 4 1 0.5652336717 0.6106451889 25.71 149.16 -39.1 0.26 0.22 0.34 0.35 0.35 83 9.6 1 0.0 0 3.0625 0.0005 0.003 0 0.14 0.002 0.17 1.06 -2.58 1.09 -1.39 0.75 1.08 -0.41 -0.01 0.79 1.06 0.12 1.98 -2.3 -1.87 1.0
10324 75 4 1 0.5803227759 0.1544049601 8.51 -26.87 -17.23 0.42 0.25 0.51 0.48 0.36 62 7.05 0 0.0 0 4.5172 0.0006 0.004 0 0.878 0.024 0.9 1.13 -0.28 1.17 -1.83 -0.09 1.24 -0.76 0.28 -0.1 1.0 0.52 2.94 -3.49 0.17 1.0
10559 5 0 1 0.5931425134 0.5822239643 11.62 -14.07 -33.21 0.32 0.21 0.4 0.45 0.33 80 4.37 0 0.0 0 5.258 0.0005 0.004 0 -0.004 0.001 0.02 1.06 -1.46 1.07 -0.8 0.33 1.06 -0.59 -0.38 0.87 1.01 -0.39 1.44 -1.1 -0.62 1.0
10602 5 0 1 0.5956299907 -0.8990559484 21.22 91.03 -22.23 0.1 0.1 0.12 0.12 0.12 114 -1.0 2 0.0 0 3.5211 0.0004 0.004 0 -0.12 0.005 -0.11 1.03 1.8 1.07 -0.32 2.42 1.0 0.33 -0.94 0.56 1.0 -0.84 1.26 0.45 0.4 1.0
10826 7 0 1 0.6080135631 -0.0519595123 10.91 9.33 -237.36 1.55 1.31 1.22 1.99 1.58 86 13.66 0 0.0 106 4.9898 0.282 1.303 1 0.966 0.299 5.71 2.08 -1.93 2.12 0.99 0.9 1.03 2.76 -0.54 -0.13 1.75 -1.98 3.08 -0.24 -1.02 1.48
